compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom,icobi_antibond_w_raw,icobi_antibond_w_normalized,icobi_antibond_e_ref,icobi_antibond_w_raw_dE0.5,icobi_antibond_w_raw_dE1.0,icobi_antibond_w_raw_dE2.0
exp_metastable_AgO_mp-1079720,mp-1079720,AgO,exp_metastable,,False,False,0.0423481174999995,-0.4002236483333323,7.460069999999999e-05,0.002381126715608,0.1365099999999994,7.460069999999999e-05,7.460069999999999e-05,7.460069999999999e-05
exp_metastable_Al12W_mp-11227,mp-11227,Al12W,exp_metastable,metallic,True,False,0.0152036853846162,-0.0721041215384599,0.0,0.0,0.0,0.0,0.0,0.0
exp_metastable_Al3Os2_mp-16521,mp-16521,Al3Os2,exp_metastable,metallic,True,False,0.0074096830000058,-0.5958528140000027,0.0,0.0,0.0,0.0,0.0,0.0
exp_metastable_AsPd2_mp-1080831,mp-1080831,AsPd2,exp_metastable,,True,False,0.0117567475000015,-0.3593560175000018,0.0008267798499999,0.0156705809325246,0.0,0.0008245267,0.0008267798499999,0.00082677985
exp_metastable_AsRh2_mp-1102364,mp-1102364,AsRh2,exp_metastable,,True,False,0.0806206316666617,-0.4492143558333386,0.0009304205999999,0.018884120154252,0.0,0.0009304205999999,0.0009304205999999,0.0009304205999999
exp_metastable_AsRh_mp-22079,mp-22079,AsRh,exp_metastable,,True,False,0.0269175908333352,-0.5242963187500003,0.0008267789999999,0.0158477860839562,0.0,0.00079373755,0.0008267789999999,0.000826779
exp_metastable_BaSn5_mp-571353,mp-571353,BaSn5,exp_metastable,metallic,True,False,0.0262177941666705,-0.2692301474999965,0.0003754611,0.0041932220236765,0.0,0.0003754611,0.0003754611,0.0003754611
exp_metastable_Be12Pd_mp-12666,mp-12666,Be12Pd,exp_metastable,metallic,True,False,0.0794515811538456,-0.0660908538461544,0.0,0.0,0.0,0.0,0.0,0.0
exp_metastable_Be3N2_mp-6977,mp-6977,Be3N2,exp_metastable,,False,False,0.0315138644999999,-1.1858389340000008,0.0,0.0,-0.5342700000000002,0.0,0.0,0.0
exp_metastable_CaGa2_mp-992,mp-992,CaGa2,exp_metastable,metallic,True,False,0.0169816583333339,-0.5780275900000001,0.0,0.0,0.0,0.0,0.0,0.0
exp_metastable_CaGa4_mp-2461,mp-2461,CaGa4,exp_metastable,metallic,True,False,0.0016006820000011,-0.4217521700000006,5.5066e-06,8.524148606811145e-05,0.0,5.5066e-06,5.5066e-06,5.5066e-06
exp_metastable_CdI2_mp-567259,mp-567259,CdI2,exp_metastable,,False,False,0.0005410511111105,-0.8265425073333326,0.0,0.0,-0.2495400000000001,0.0,0.0,0.0
exp_metastable_CdO2_mp-2310,mp-2310,CdO2,exp_metastable,,False,False,0.0562341900000005,-0.841200041666666,0.0,0.0,-0.23486,0.0,0.0,0.0
exp_metastable_ClF3_mp-556767,mp-556767,ClF3,exp_metastable,,False,False,0.0029946146875001,-0.9563266143749998,0.0,0.0,-0.2791140000000001,0.0,0.0,0.0
exp_metastable_Cs2Se_mp-1011696,mp-1011696,Cs2Se,exp_metastable,,False,False,0.0042327591666642,-1.192791818051366,0.0,0.0,-0.2753699999999999,0.0,0.0,0.0
exp_metastable_CsH_mp-632319,mp-632319,CsH,exp_metastable,,False,False,0.0160978499999995,-0.2314997043749986,5.5066000000000025e-06,0.000217738236457,-0.2524729999999999,5.5066000000000025e-06,5.5066000000000025e-06,5.5066000000000025e-06
exp_metastable_Cu3Ge_mp-19724,mp-19724,Cu3Ge,exp_metastable,metallic,True,False,0.0126398462499999,0.0126398462499999,0.0009163940999999,0.0409653151542244,0.0,0.0004455536499999,0.0009163940999999,0.0009514375
exp_metastable_FeTe2_mp-1102002,mp-1102002,FeTe2,exp_metastable,,True,False,0.0449096983333356,-0.4170853777777766,0.0,0.0,0.0,0.0,0.0,0.0
exp_metastable_Ge4Rh_mp-1104286,mp-1104286,Ge4Rh,exp_metastable,metallic,True,False,0.0907375489999999,-0.1339630540000011,4.355295e-05,0.0006423738938053,0.0,4.355295e-05,4.355295e-05,4.355295e-05
exp_metastable_GeSe2_mp-10074,mp-10074,GeSe2,exp_metastable,covalent,False,False,0.0124937554166688,-0.566828659895832,0.0,0.0,-0.2739299999999998,0.0,0.0,0.0
exp_metastable_H2O_mp-2739191,mp-2739191,H2O,exp_metastable,,False,False,0.0494479991666665,-1.230554994166667,0.0,0.0,-0.2988500000000003,0.0,0.0,0.0
exp_metastable_H3N_mp-643432,mp-643432,H3N,exp_metastable,covalent,False,False,0.0038271875000006,-0.3450917143750001,0.0,0.0,-0.2960199999999999,0.0,0.0,0.0
